ronda,WuiboEE27_05,WuiboEE27_10,WuiboEE27_15,WuiboEE27_20
0,33382,852,804,968
1,13433,664,1218,2782
2,822,2400,10164,1094
3,964,13293,1474,1190
,48601,17209,13660,6034
